country,year,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Antigua and Barbuda,2001,0,0,0,19.45,0,0
Antigua and Barbuda,2002,0,0,0,0,0,0
Antigua and Barbuda,2003,0,0,0,0,27.82,0
Antigua and Barbuda,2004,0,0,0,8.77,27.29,0
Antigua and Barbuda,2005,0,0,0,0,0,0
Antigua and Barbuda,2006,0,0,0,0,0,0
Antigua and Barbuda,2007,0,0,0,7.98,0,0
Antigua and Barbuda,2008,0,0,0,0,0,0
Antigua and Barbuda,2009,0,0,0,0,0,0
Antigua and Barbuda,2012,0,0,0,0,0,0
Antigua and Barbuda,2013,0,0,0,0,0,0
Antigua and Barbuda,2014,0,0,0,0,0,0
Antigua and Barbuda,2015,0,0,0,0,15.62,0
Argentina,1985,0.45,4.695,5.445,8.3,16.7,31.645
Argentina,1986,0.285,5.965,6.835,9.885,17.53,35.95
Argentina,1987,0.475,5.575,6.22,10.125,17.845,32.25
Argentina,1988,0.485,6.235,6.095,9.63,18.06,32.615
Argentina,1989,0.45,5.205,6.645,8.815,17.125,31.225
Argentina,1990,0.555,5.07,5.65,8.315,15.63,32.23
Argentina,1991,0.55,4.405,6.365,7.36,13.91,27.03
Argentina,1992,0.525,5.815,6.615,8.61,14.52,27.345
Argentina,1993,0.615,5.275,6.605,8.625,14.43,31.835
Argentina,1994,0.57,5.78,6.29,9.125,14.21,25.05
Argentina,1995,0.515,6.105,5.825,8.16,14.18,25.2
Argentina,1996,0.35,6.075,5.695,9,12.845,25.05
Argentina,1997,0.44,5.85,5.785,8.385,12.6,22.64
Argentina,1998,0.53,6.82,6.06,8.14,13.98,22.935
Argentina,1999,0.595,6.975,6.185,8.415,14.24,22.185
Argentina,2000,0.565,8.785,7.565,9.1,15.31,24.37
Argentina,2001,0.76,10.335,8.535,9.98,16.425,25.745
Argentina,2002,0.86,10.555,9.11,9.61,16.055,23.52
Argentina,2003,0.89,12.32,9.215,9.6,14.49,26.63
Argentina,2004,0.975,12.235,9.28,9.07,12.515,21.455
Argentina,2005,1.045,11.81,9.23,8.115,12.495,21.395
Argentina,2006,0.935,12.445,9.58,8.43,11.51,21.21
Argentina,2007,1.135,10.75,9.86,8.12,10.26,19.05
Argentina,2008,0.84,11.875,9.855,8.325,10.55,17.61
Argentina,2009,0.89,11.315,9.495,7.52,9.865,14.575
Argentina,2010,0.75,12.12,9.065,7.85,8.785,17.05
Argentina,2011,0.81,12.53,9.405,6.925,8.885,14.38
Argentina,2012,0.645,13.715,11.005,7.36,9.56,17.625
Argentina,2013,0.91,12.445,9.205,7.64,8.38,13.13
Argentina,2014,0.96,13.575,9.93,8.25,8.435,14.525
Argentina,2015,0.8,11.625,8.825,7.69,8.93,18.195
Armenia,1990,0,2.415,3.23,5.85,4.33,4.735
Armenia,1991,0,2.03,3.77,3.145,4.435,10.57
Armenia,1992,0,1.67,4.8,3.78,5.385,7.195
Armenia,1993,0,1.66,3.675,4.07,6.95,9.17
Armenia,1994,0.395,1.645,1.84,4.85,7.39,17.245
Armenia,1995,0.26,2.09,5.38,4.93,7.85,5.515
Armenia,1996,0.265,0.785,2.785,3.675,5.64,10.75
Armenia,1997,0.26,1.22,1.765,3.355,5.58,4.675
Armenia,1998,0.27,1.19,1.245,3.13,4.285,4.32
Armenia,1999,0,1.74,1.42,2.745,4.665,5.28
Armenia,2000,0,1.68,1.595,1.96,3.675,9.08
Armenia,2001,0.89,1.11,0.53,2.19,4.425,6.745
Armenia,2002,0.34,1.02,3.13,3.27,5.43,6.015
Armenia,2003,0.35,0.33,4.75,2.795,4.205,7
Armenia,2006,0.45,3.62,2.06,2.87,7.365,7.505
Armenia,2007,0.47,1.805,2.09,3.525,5.17,7.73
Armenia,2008,0.475,0.63,1.195,2.325,5.485,14.93
Armenia,2009,0,1.14,0.94,2.76,3.505,8.505
Armenia,2010,1.12,1.955,2.675,2.75,4.745,6.96
Armenia,2011,0,2.195,3.81,3.725,3.405,5.26
Armenia,2012,0.52,1.37,3.01,4.265,3.32,6.06
Armenia,2013,0.52,0.615,3.59,2.465,4.48,9.125
Armenia,2014,0.58,1.09,2.37,2.03,3.365,10.545
Armenia,2015,0,1.17,2.32,2.59,4.3,12.26
Armenia,2016,0,1.49,1.14,2.65,4.34,10.66
Aruba,1995,0,0,53.19,8.41,21.94,224.97
Aruba,1999,0,36.85,56.89,21.73,0,0
Aruba,2000,0,0,43.94,13.43,0,117.265
Aruba,2001,0,0,0,27.28,0,0
Aruba,2002,0,16.84,30.96,13.26,65.4,0
Aruba,2003,0,0,0,12.93,0,0
Aruba,2004,0,15.04,16.22,12.67,44.76,88.03
Aruba,2005,0,14.61,14.28,14.89,20.455,0
Aruba,2006,0,0,66.73,14.79,0,0
Aruba,2007,0,15.53,33.7,18.7,12.13,0
Aruba,2008,0,0,17.1,5.89,12.56,0
Aruba,2009,0,0,17.46,12.71,12.06,0
Aruba,2010,0,0,0,25.74,16.455,0
Aruba,2011,0,14.91,15.96,19.5,21.525,0
Australia,1985,0.315,14.26,16.25,14.675,16.21,19.995
Australia,1986,0.745,13.74,17.315,16.825,17.39,21.88
Australia,1987,0.275,15.535,16.53,17.355,17.535,27.18
Australia,1988,0.275,15.085,18.38,16.575,16.645,22.7
Australia,1989,0.355,14.505,17.655,14.125,16.935,20.48
Australia,1990,0.39,15.66,18.66,15.515,16.46,19.685
Australia,1991,0.395,15.69,18.3,17.65,14.165,23.875
Australia,1992,0.235,16.475,17.76,15.545,16.21,19.095
Australia,1993,0.27,13.705,16.56,14.385,13.79,18.765
Australia,1994,0.155,15.56,18.17,16.645,14.36,18.985
Australia,1995,0.3,14.63,18.69,15.345,12.785,15.995
Australia,1996,0.575,15.665,19.88,16.57,14.87,20.11
Australia,1997,0.535,18.51,22.19,17.81,14.045,20.375
Australia,1998,0.295,16.43,23.96,18.145,13.445,15.93
Australia,1999,0.595,14.16,21.895,17.23,13.065,16.63
Australia,2000,0.33,13.2,19.95,17.045,12.04,16.345
Australia,2001,0.295,12.775,20.895,17.405,12.005,16.02
Australia,2002,0.295,11.165,19.335,16.935,10.975,13.635
Australia,2003,0.515,10.51,17.375,14.91,11.125,12.485
Australia,2004,0.29,9.67,16.225,14.565,10.49,15.64
Australia,2006,0.29,10.4,12.16,15.175,11.915,14.005
Australia,2007,0.435,10.01,14.675,15.155,11.21,13.64
Australia,2008,0.395,9.34,14.715,16.45,11.68,12.665
Australia,2009,0.22,8.73,14.06,15.93,11.605,14.625
Australia,2010,0.395,9.485,12.655,16.9,11.245,15.64
Australia,2011,0.58,10.815,13.46,15.135,11.455,15.165
Australia,2012,0.575,10.495,13.59,17.035,11.945,16.145
Australia,2013,0.76,11.53,12.5,16.425,12.59,15.585
Australia,2014,0.73,11.6,15.135,18.17,13.685,15.215
Australia,2015,0.48,12.335,15.405,19.575,12.925,16.37
Austria,1985,0.85,19.775,26.28,37.305,43.43,64.765
Austria,1986,0.645,20.205,31.27,36.51,41.845,70.425
Austria,1987,0.44,18.625,26.655,32.985,41.985,82.25
Austria,1988,0.45,15.98,24.28,30.05,37.415,70.645
Austria,1989,1.31,17.685,22.875,28.815,41.365,68.265
Austria,1990,0.34,15.455,20.38,28.82,37.53,74.365
Austria,1991,0.43,16.33,18.485,27.13,36.685,78.89
Austria,1992,0.64,15.655,18.545,27.47,36.325,72.235
Austria,1993,1.065,14.225,20.155,24.44,33.515,80.58
Austria,1994,1.175,16.275,18.805,27.255,34.575,73.725
Austria,1995,1.65,15.075,21.1,26.72,33.19,77.135
Austria,1996,0.83,12.075,18.505,27.445,34.985,77.9
Austria,1997,0.315,14.745,18.35,23.34,29.93,62.07
Austria,1998,0.835,12.715,15.975,23.51,30.23,61.425
Austria,1999,0.315,12.86,15.435,23.04,29.905,58.595
Austria,2000,0.85,13.79,14.715,22.205,31.92,61.405
Austria,2001,0.215,12.255,15.17,21.15,28.725,53.44
Austria,2002,0.42,11.81,16.035,22.755,27.78,59.66
Austria,2003,0.62,12.07,13.18,20.87,26.265,55.835
Austria,2004,0.42,13.035,13.14,18.24,26.805,55.59
Austria,2005,0.43,9.86,12.31,19.21,26.685,49.13
Austria,2006,0.22,9.04,11.1,18.5,21.995,48.705
Austria,2007,0.44,10.48,11.435,16.26,23.205,47.055
Austria,2008,0.46,7.48,9.595,17.475,21.58,51.635
Austria,2009,0.94,8.02,10.79,16.71,22.605,47.545
Austria,2010,0.35,10.175,10.145,16.485,21.995,44.625
Austria,2011,0.475,8.775,11,16.685,22.12,46.69
Austria,2012,0.48,6.955,10.775,16.295,22.185,46.625
Austria,2013,0.495,7.22,8.9,16.04,22.74,50.665
Austria,2014,0.48,9.365,11.24,16.18,20.985,46.9
Austria,2015,0.245,7.805,8.42,15.335,21.07,44.435
Austria,2016,0,7.77,8.63,13.875,20.515,40.825
Azerbaijan,1990,0.13,1.475,2.065,3.96,2.565,2.175
Azerbaijan,1991,0.14,2.21,2.74,3.02,4.015,4.06
Azerbaijan,1992,0,2.305,2.6,3.495,3.94,5.05
Azerbaijan,1993,0.13,2.1,2.215,2.325,3.055,5.935
Azerbaijan,1994,0,0.465,0.525,1.27,1.905,1.855
Azerbaijan,1995,0,1.36,0.61,1.535,2.12,3.255
Azerbaijan,1996,0,0.915,1.155,1.21,2.695,2.94
Azerbaijan,1997,0,1,1.905,2.965,3.425,0
Azerbaijan,1998,0.11,0.365,1.76,1.61,1.395,2.06
Azerbaijan,1999,0,0.575,0.865,1.54,1.31,0
Azerbaijan,2000,0.11,1.015,1.125,0.9,1.59,2.52
Azerbaijan,2001,1.72,4.18,5.03,4.81,7.195,7.09
Azerbaijan,2002,0.45,0.63,0.805,1.945,3.35,2.755
Azerbaijan,2003,0.47,1.59,1.215,2.445,2.75,5.065
Azerbaijan,2004,0.43,0.83,1.53,2.33,1.535,5.02
Azerbaijan,2007,0.56,0.45,0.76,0.85,1.16,2.415
Bahamas,1985,0,0,0,4.76,0,0
Bahamas,1987,0,0,4.78,8.81,0,0
Bahamas,1993,0,3.73,7.87,7.41,9.25,0
Bahamas,1994,0,0,0,10.6,0,0
Bahamas,1995,0,0,3.8,3.36,0,0
Bahamas,1996,0,0,0,9.82,0,0
Bahamas,1997,0,0,4.01,3.14,0,0
Bahamas,1998,0,0,8.08,3.01,0,0
Bahamas,1999,0,3.92,8.08,2.88,0,0
Bahamas,2000,0,3.88,16.44,13.87,6.47,0
Bahamas,2001,0,0,0,2.68,0,0
Bahamas,2002,0,7.38,0,2.59,0,0
Bahamas,2003,0,0,0,2.49,0,0
Bahamas,2004,0,3.53,0,2.4,0,0
Bahamas,2005,3.49,0,3.755,2.32,0,0
Bahamas,2006,0,3.39,0,2.25,0,0
Bahamas,2007,0,3.31,3.7,3.205,0,0
Bahamas,2008,3.48,3.24,3.65,2.12,0,0
Bahamas,2009,0,6.36,3.59,3.015,0,0
Bahamas,2010,0,4.71,0,3.92,4.35,32.36
Bahamas,2011,0,3.09,3.43,1.96,4.51,0
Bahamas,2012,0,6.11,0,2.865,0,0
Bahamas,2013,0,0,0,2.84,8.23,0
Bahrain,1985,0,0,10.36,4.88,0,0
Bahrain,1987,0,2.59,4.165,6.29,8.47,0
Bahrain,1988,0,2.27,12.99,4.77,0,0
Bahrain,1997,0,0,0,0,0,0
Bahrain,1998,0,0,0,0,0,0
Bahrain,1999,0,2.73,5.785,2.715,0,0
Bahrain,2000,0,3.38,10.215,8.92,0,0
Bahrain,2001,1.49,2.38,5.295,4.12,5.58,0
Bahrain,2002,0,3.045,4.44,6.355,0,0
Bahrain,2003,0,3.61,8.2,12.38,0,0
Bahrain,2004,0,1.925,10.34,5.185,19.31,0
Bahrain,2005,0,4.045,7.305,5.09,7.34,0
Bahrain,2006,0,2.755,6.895,2.27,3.34,0
Bahrain,2007,0,3.37,5.67,3.97,6.07,0
Bahrain,2008,0,3.93,6.405,4.18,2.79,0
Bahrain,2009,2.53,3.91,4.035,3.725,2.63,0
Bahrain,2010,0,1.24,1.755,2.38,2.38,0
Bahrain,2011,1.29,2.135,1.925,1.635,2.28,0
Bahrain,2012,0,0.9,2.77,2.24,0,0
Bahrain,2013,0,0.91,0.84,0.74,0,0
Bahrain,2014,0,3.97,1.08,0.39,0,0
Barbados,1985,0,0,6.82,0,23.08,25
Barbados,1986,0,7.63,4.55,20,0,0
Barbados,1987,4.12,0,4.5,6.575,7.69,0
Barbados,1988,0,7.58,22.32,14.71,6.39,0
Barbados,1989,0,10.165,6.435,26.09,14.29,0
Barbados,1990,0,4,8.33,14.26,10.19,60
Barbados,1991,0,12.5,10.87,20,11.345,0
Barbados,1992,0,0,10.78,11.34,9.645,0
Barbados,1993,0,21.37,12.55,10.95,13.595,18.87
Barbados,1994,4.74,4.37,4.37,10.37,16.43,0
Barbados,1995,0,6.765,29.66,8.145,6.405,0
Barbados,2000,0,4.99,19.07,6.535,0,0
Barbados,2001,0,0,0,2.66,5.99,0
Barbados,2002,0,0,0,0,0,0
Barbados,2003,0,0,0,0,0,0
Barbados,2004,0,0,0,7.79,0,0
Barbados,2005,0,0,0,2.58,0,0
Barbados,2006,0,0,10.16,12.83,5.12,17.27
Barbados,2007,0,0,0,0,0,0
Barbados,2008,0,0,0,2.31,0,0
Barbados,2009,0,0,0,7.61,4.58,16.61
Barbados,2010,0,0,0,7.62,0,0
Barbados,2011,0,0,0,0,0,0
Barbados,2012,0,0,0,0,0,0
Barbados,2013,0,0,0,0,0,0
Belarus,1990,0.7,11.09,23.925,35.995,32.585,32.89
Belarus,1991,0.995,12.36,23.24,35.73,34.52,41.975
Belarus,1992,2.075,13.9,27.515,40.16,36.445,37.025
Belarus,1993,1.33,14.69,32.415,48.92,44.68,40.52
Belarus,1994,1.085,16.825,33.45,52.54,51.47,46.42
Belarus,1995,0.91,16.55,35.275,54.605,51.47,43.195
Belarus,1996,0.98,17.975,39.825,59.715,61.82,47.54
Belarus,1997,0.625,19.815,39.505,56.635,58.69,47.98
Belarus,1998,1.09,21.395,40.115,55.105,58.365,51.75
Belarus,1999,1.75,21.9,44.505,48.685,55.21,53.13
Belarus,2000,1.835,21.84,40.755,53.19,55.675,50.355
Belarus,2001,1.4,21.865,38.505,49.86,52.35,45.845
Belarus,2002,1.965,20.215,42.085,50.415,49.08,41.74
Belarus,2003,1.17,20.205,43.135,51.495,55.465,50.96
Belarus,2007,1.215,18.695,31.94,37.525,41.63,46.94
Belarus,2008,0.735,16.975,29.995,40.5,39.58,48.295
Belarus,2009,1.285,21.15,34.495,37.945,38.785,54.11
Belarus,2010,0.655,19.87,30.58,36.985,34.56,43.34
Belarus,2011,1.2,16.48,25.99,31.99,31.58,42.44
Belarus,2013,0.64,14.065,23.315,26.985,27.76,43.895
Belarus,2014,0.87,12.43,22.07,25.185,24.075,41.825
Belgium,1985,1.01,9.245,21.04,30.435,39.015,65.275
Belgium,1986,0.325,10.505,20.04,29.56,37.21,59.705
Belgium,1987,1.75,10.41,23.88,28.275,35.375,65.065
Belgium,1988,0.725,9.53,20.535,25.56,31.73,53.82
Belgium,1989,0.49,10.56,17.995,24.285,28.86,60.235
Belgium,1990,0.32,10.365,18.315,23.805,28.235,57.675
Belgium,1991,0.41,8.9,18.975,23.45,24.825,55.45
Belgium,1992,0.81,10.545,18.855,23.575,26.965,52.595
Belgium,1993,0.41,12.78,21.775,28.735,27.815,58.72
Belgium,1994,0.89,13.21,21.9,27.655,27.835,58.71
Belgium,1995,1.06,13.88,20.025,29.505,28.56,49.92
Belgium,1996,0.41,13.655,20.25,27.185,25.48,46.79
Belgium,1997,0.96,12.33,22.785,29.69,25.9,51.185
Belgium,1998,0.565,13.2,19.205,27.32,24.5,47.58
Belgium,1999,0.88,11.045,17.95,25.465,24.095,35.915
Belgium,2000,0.405,14.115,22.965,28.015,26.965,41.435
Belgium,2001,0.89,12.195,20.585,30.79,26.015,40.135
Belgium,2002,0.41,10.395,20.765,28.8,26.225,37.335
Belgium,2003,0.97,12.665,20.39,29.46,24.095,36.785
Belgium,2004,0.74,11.97,18.745,27.845,23.695,32.535
Belgium,2005,0.16,9.725,17.615,28.49,25.985,33.98
Belgium,2006,0.335,8.805,19.405,27.23,23.67,28.005
Belgium,2007,0.575,8.715,15.55,25.965,22.155,31.325
Belgium,2008,0.67,11.255,16.155,27.87,23.33,31.49
Belgium,2009,0.665,9.43,16.79,27.86,24.72,29.71
Belgium,2010,0.74,9.855,16.815,27.575,23.89,31.215
Belgium,2011,0.8,11.175,15.625,27.065,26.315,32.775
Belgium,2012,0.49,9.46,16.49,26.42,24.75,30.955
Belgium,2013,0.4,8.755,14.16,24.96,22.325,30.175
Belgium,2014,0.62,8.355,14.49,24.345,22.56,30.865
Belgium,2015,0.315,8.535,14.145,24.07,21.675,29.59
Belize,1986,0,5.555,8.26,0,0,0
Belize,1987,0,5.27,16.93,9.21,0,0
Belize,1989,0,5.16,0,0,0,0
Belize,1990,0,4.98,0,8.85,15.87,0
Belize,1991,0,0,0,8.55,15.38,0
Belize,1993,0,0,6.49,0,0,0
Belize,1994,0,0,13.15,20.27,14.87,58.22
Belize,1995,0,10.655,24.24,21.43,14.49,62.5
Belize,1996,0,14.05,6.41,12.14,28.69,0
Belize,1997,0,0,0,5.77,0,0
Belize,1998,0,8.42,23.27,11.045,28,0
Belize,1999,3.21,32.43,21.83,26.25,0,0
Belize,2000,0,9.915,20.48,15.245,27.23,62.77
Belize,2001,0,11.535,19.53,14.47,13.64,61.46
Belize,2002,3.01,5.66,4.68,18.475,13.66,0
Belize,2003,2.88,5.515,9.115,6.59,13.68,0
Belize,2004,0,24.84,17.73,20.66,27.075,0
Belize,2005,2.75,6.945,21.68,7.78,0,0
Belize,2006,2.72,6.795,4.32,14.57,0,0
Belize,2007,2.66,4.985,0,5.185,0,55.49
Belize,2008,0,6.5,4.2,19.67,0,51.79
Belize,2009,0,12.635,8.345,6.3,9.5,0
Belize,2010,0,6.18,16.63,10.68,17.31,0
Belize,2011,0,19.39,36.11,13.305,8.38,43.42
Belize,2012,0,4.34,23.21,17.25,24.31,0
Belize,2013,0,7.065,14.9,19.56,7.81,0
Belize,2014,5.22,5.515,14.255,8.115,29.96,0
Belize,2015,7.68,4.05,31.08,7.835,14.38,44.17
Bosnia and Herzegovina,2011,0,0,0.4,0.36,0.55,0
Bosnia and Herzegovina,2014,0.44,1.495,4.4,11.505,12.97,24.16
Brazil,1985,0.24,3.41,4.92,5.43,6.295,9.295
Brazil,1986,0.195,3.79,5.02,5.17,6.625,7.78
Brazil,1987,0.205,3.555,5.005,5.62,7.935,12.74
Brazil,1988,0.175,3.31,4.795,5.425,6.525,12.45
Brazil,1989,0.185,3.415,4.765,5.015,6.345,12.285
Brazil,1990,0.19,3.555,4.885,5.32,6.92,12.66
Brazil,1991,0.215,3.64,5.06,5.65,7.435,12.17
Brazil,1992,0.205,3.665,4.86,5.915,6.66,11.155
Brazil,1993,0.225,4.105,5.545,5.485,6.445,12.125
Brazil,1994,0.26,4.385,5.735,5.575,6.97,12.83
Brazil,1995,0.205,4.525,6.085,6.425,7.66,12.72
Brazil,1996,0.33,4.685,5.755,6.57,7.295,12.03
Brazil,1997,0.3,4.34,5.945,6.59,7.8,13.425
Brazil,1998,0.275,4.32,5.82,6.365,7.805,12.94
Brazil,1999,0.245,4.035,5.215,6.065,6.745,11.52
Brazil,2000,0.24,3.97,5.195,6.185,7.265,11.26
Brazil,2001,0.315,4.695,5.87,6.89,7.38,11.595
Brazil,2002,0.315,4.605,5.91,6.655,7.075,10.325
Brazil,2003,0.3,4.675,5.795,6.66,7.16,9.445
Brazil,2004,0.305,4.67,6.03,6.445,6.98,10.68
Brazil,2005,0.305,4.595,5.945,7.01,7.84,11.105
Brazil,2006,0.36,4.675,5.94,7.055,7.24,9.68
Brazil,2007,0.34,4.6,6.215,6.905,7.57,10.21
Brazil,2008,0.3,4.985,6.295,7.015,7.345,10.165
Brazil,2009,0.335,4.56,6.53,7.2,7.35,9.21
Brazil,2010,0.305,4.7,6.565,6.88,7.06,10.855
Brazil,2011,0.33,4.975,6.69,7.035,7.245,9.93
Brazil,2012,0.36,4.835,6.85,7.29,7.82,10.07
Brazil,2013,0.37,4.79,6.84,7.51,7.67,9.525
Brazil,2014,0.46,4.94,6.935,7.315,7.475,9.44
Brazil,2015,0.425,5.12,6.71,7.6,8.105,10.765
Bulgaria,1985,0.985,9.07,11.31,15.12,28.385,86.69
Bulgaria,1986,1.135,8.6,11.455,15.655,27.48,73.415
Bulgaria,1987,1.66,9.475,10.91,15.355,29.72,87.08
Bulgaria,1988,1.965,9.345,11.01,15.08,28.625,80.22
Bulgaria,1989,1.605,8.66,10.855,15.74,28.58,80.655
Bulgaria,1990,1.24,9.065,11.06,13.87,24.995,67.985
Bulgaria,1991,1.435,7.89,11.05,15.11,26.78,72.205
Bulgaria,1992,0.865,10.235,12.435,17.66,29.325,84.78
Bulgaria,1993,1.14,10.54,14.585,16.835,29.71,66.37
Bulgaria,1994,1.17,9.165,10.805,19.065,28.645,75.345
Bulgaria,1995,1.2,8.925,12.345,17.02,29.26,70.175
Bulgaria,1996,1.325,9.67,10.87,20.505,28.895,76.835
Bulgaria,1997,1.64,9.465,10.49,17.72,30.555,68.31
Bulgaria,1998,1.175,10.325,11.335,17.075,29.445,82.95
Bulgaria,1999,1.015,7.705,10.14,16.735,26.165,63.595
Bulgaria,2000,1.04,6.195,11.925,20.615,24.345,66.01
Bulgaria,2001,0.91,7.845,10.685,17.87,26.055,58.945
Bulgaria,2002,1.07,6.69,10.51,17.945,26.46,61
Bulgaria,2003,1.51,5.645,7.96,15.12,21.2,52.39
Bulgaria,2004,1.055,4.795,7.585,14.49,20.74,43.395
Bulgaria,2005,0.83,5.55,8.385,12.59,20.945,40.73
Bulgaria,2006,1.12,5.325,8.295,11.67,20.68,46.735
Bulgaria,2007,1.51,4.675,6.06,11.19,18.97,45.235
Bulgaria,2008,0.3,5.805,7.045,11.605,20.87,39.545
Bulgaria,2009,0.3,3.945,6.395,12.265,18.74,35.715
Bulgaria,2010,0.3,4.645,6.055,12.23,17.36,38.685
Bulgaria,2011,0.6,5.375,6.12,11.515,15.415,28.035
Bulgaria,2012,0.3,7.145,7.3,10.87,17.97,38.65
Bulgaria,2013,0.31,4.82,6.7,9.815,14.5,30.935
Bulgaria,2014,0.59,5.055,5.995,9.045,14.32,35.175
Cabo Verde,2011,5.24,5.245,18.62,21.16,8.4,40.37
Canada,1985,0.495,14.57,16.78,16.915,17.6,16.87
Canada,1986,0.69,16.11,19.76,19.14,18.47,20.885
Canada,1987,0.825,15.235,19.315,18.435,18.08,17.775
Canada,1988,0.76,15.885,18.17,17.57,16.9,18.405
Canada,1989,0.68,15.59,17.825,17.38,16.585,17.43
Canada,1990,0.805,14.77,18.04,16.87,13.735,18.29
Canada,1991,0.76,15.88,18.35,16.985,15.46,16.455
Canada,1992,0.86,15.36,17.525,17.295,15.06,15.7
Canada,1993,1.14,14.225,16.955,18.21,14.835,16.645
Canada,1994,1.225,15.01,15.35,17.855,14.26,17.255
Canada,1995,1.075,14.795,17.845,18.88,14.045,15.12
Canada,1996,1.005,14.215,16.045,19.425,14.415,16.34
Canada,1997,1.24,13.445,14.28,17.525,13.57,15.655
Canada,1998,1.115,13.565,15.295,16.9,13.425,14.76
Canada,1999,0.77,13.31,16.295,19.79,14.02,15.035
Canada,2000,1.115,12.845,13.6,17.025,12.185,12.73
Canada,2001,0.66,11.73,14.13,17.77,12.855,11.57
Canada,2002,0.855,11.345,13.515,16.865,13.1,13.185
Canada,2003,0.655,11.935,12.31,17.72,13.61,12.405
Canada,2004,0.69,10.87,13.365,16.43,12.275,12.2
Canada,2005,1.105,11.455,11.475,17.525,12.28,13.08
Canada,2006,0.795,9.21,10.86,15.505,13.335,13.51
Canada,2007,0.85,10.375,11.53,16.06,11.93,12.98
Canada,2008,0.65,10.015,11.26,16.32,13.005,12.545
Canada,2009,0.66,10.315,11.99,17.04,13.4,11.93
Canada,2010,0.85,10.43,11.935,16.68,13.725,12.715
Canada,2011,0.835,10.725,11.365,14.98,12.845,11.76
Canada,2012,0.91,11.11,11.3,15.75,13.945,10.925
Canada,2013,0.94,9.4,11.71,16.355,14.18,13.96
Chile,1985,0.405,6.475,7.325,8.835,10.95,20.465
Chile,1986,0.455,5.78,7.325,7.72,11.685,12.505
Chile,1987,0.28,5.985,8.385,7.575,12.345,20.28
Chile,1988,0.445,5.99,8.175,8.005,10.285,14.55
Chile,1989,0.51,6.64,8.245,7.675,10.255,16.895
Chile,1990,0.475,6.27,7.5,7.765,13.225,10.695
Chile,1991,0.475,7.105,7.31,9.35,10.055,15.12
Chile,1992,0.35,4.965,7.725,6.82,8.985,21.19
Chile,1993,0.45,5.845,7.18,7.64,9.625,41.7
Chile,1994,0.225,6.21,8.585,8.055,10.53,14.065
Chile,1995,0.51,7.27,8.59,9.2,12.075,16.81
Chile,1996,0.395,7.945,7.9,8.83,12.305,10.48
Chile,1997,0.355,7.775,8.29,8.48,10.295,14.87
Chile,1998,0.285,7.49,9.49,9.895,12.1,15.625
Chile,1999,0.14,6.765,10.155,9.675,11.985,17.21
Chile,2000,0.495,10.325,13.66,13.695,15.185,21.23
Chile,2001,0.78,12.08,13.97,15.81,15.175,15.975
Chile,2002,0.78,10.93,13.695,15.255,14.495,19.485
Chile,2003,0.855,10.71,14.435,14.725,15.93,20.115
Chile,2004,0.72,12.99,15.375,14.78,14.29,19.69
Chile,2005,1.465,11.845,13.24,14.22,14.945,18
Chile,2006,0.955,11.81,13.525,16.315,14.335,20.59
Chile,2007,1.045,13.885,15.405,14.65,14.885,15.59
Chile,2008,1.145,15.48,16.925,16.46,16.34,17.59
